01-11 09:34:45.127 19067 19067 D pobotag GameViewModel: Blue: Full
01-11 09:34:45.127 19067 19067 D pobotag GameViewModel: Red: Full
01-11 09:35:17.858 19067 19067 D pobotag GameView: Winner 1: Red
01-11 09:35:54.041 19067 19067 D pobotag GameView: Winner 2: Red
01-11 09:36:55.441 19067 19067 D pobotag GameView: Winner 3: Red
01-11 09:37:31.462 19067 19067 D pobotag GameView: Winner 4: Red
01-11 09:38:13.724 19067 19067 D pobotag GameView: Winner 5: Red
01-11 09:39:04.461 19067 19067 D pobotag GameView: Winner 6: Red
01-11 09:40:15.043 19067 19067 D pobotag GameView: Winner 7: Blue
01-11 09:41:07.861 19067 19067 D pobotag GameView: Winner 8: Red
01-11 09:42:13.374 19067 19067 D pobotag GameView: Winner 9: Red
01-11 09:42:53.533 19067 19067 D pobotag GameView: Winner 10: Red
01-11 09:43:39.961 19067 19067 D pobotag GameView: Winner 11: Red
01-11 09:44:24.241 19067 19067 D pobotag GameView: Winner 12: Red
01-11 09:45:08.612 19067 19067 D pobotag GameView: Winner 13: Red
01-11 09:46:05.358 19067 19067 D pobotag GameView: Winner 14: Red
01-11 09:47:14.646 19067 19067 D pobotag GameView: Winner 15: Red
01-11 09:47:54.692 19067 19067 D pobotag GameView: Winner 16: Red
01-11 09:48:26.343 19067 19067 D pobotag GameView: Winner 17: Red
01-11 09:49:00.074 19067 19067 D pobotag GameView: Winner 18: Red
01-11 09:49:33.762 19067 19067 D pobotag GameView: Winner 19: Red
01-11 09:50:45.308 19067 19067 D pobotag GameView: Winner 20: Red
01-11 09:51:54.881 19067 19067 D pobotag GameView: Winner 21: Red
01-11 09:52:34.849 19067 19067 D pobotag GameView: Winner 22: Red
01-11 09:53:31.680 19067 19067 D pobotag GameView: Winner 23: Red
01-11 09:54:24.397 19067 19067 D pobotag GameView: Winner 24: Red
01-11 09:55:12.674 19067 19067 D pobotag GameView: Winner 25: Red
01-11 09:55:59.026 19067 19067 D pobotag GameView: Winner 26: Red
01-11 09:56:53.725 19067 19067 D pobotag GameView: Winner 27: Red
01-11 09:57:50.563 19067 19067 D pobotag GameView: Winner 28: Red
01-11 09:58:20.079 19067 19067 D pobotag GameView: Winner 29: Red
01-11 09:59:08.375 19067 19067 D pobotag GameView: Winner 30: Red
01-11 09:59:37.824 19067 19067 D pobotag GameView: Winner 31: Red
01-11 10:00:26.158 19067 19067 D pobotag GameView: Winner 32: Red
