01-11 08:33:07.472 17380 17380 D pobotag GameViewModel: Blue: Full
01-11 08:33:07.473 17380 17380 D pobotag GameViewModel: Red: Pure Heuristics
01-11 08:33:42.744 17380 17380 D pobotag GameView: Winner 1: Blue
01-11 08:34:04.923 17380 17380 D pobotag GameView: Winner 2: Red
01-11 08:34:26.841 17380 17380 D pobotag GameView: Winner 3: Blue
01-11 08:35:05.214 17380 17380 D pobotag GameView: Winner 4: Red
01-11 08:35:30.416 17380 17380 D pobotag GameView: Winner 5: Blue
01-11 08:36:07.398 17380 17380 D pobotag GameView: Winner 6: Blue
01-11 08:36:35.742 17380 17380 D pobotag GameView: Winner 7: Blue
01-11 08:36:52.145 17380 17380 D pobotag GameView: Winner 8: Red
01-11 08:37:18.275 17380 17380 D pobotag GameView: Winner 9: Blue
01-11 08:37:53.058 17380 17380 D pobotag GameView: Winner 10: Blue
01-11 08:38:19.259 17380 17380 D pobotag GameView: Winner 11: Red
01-11 08:38:42.201 17380 17380 D pobotag GameView: Winner 12: Red
01-11 08:39:02.891 17380 17380 D pobotag GameView: Winner 13: Blue
01-11 08:39:34.575 17380 17380 D pobotag GameView: Winner 14: Blue
01-11 08:39:53.458 17380 17380 D pobotag GameView: Winner 15: Red
01-11 08:40:25.374 17380 17380 D pobotag GameView: Winner 16: Red
01-11 08:40:51.498 17380 17380 D pobotag GameView: Winner 17: Red
01-11 08:41:22.078 17380 17380 D pobotag GameView: Winner 18: Red
01-11 08:42:06.049 17380 17380 D pobotag GameView: Winner 19: Red
01-11 08:42:33.075 17380 17380 D pobotag GameView: Winner 20: Blue
01-11 08:43:04.767 17380 17380 D pobotag GameView: Winner 21: Red
01-11 08:43:37.229 17380 17380 D pobotag GameView: Winner 22: Blue
01-11 08:44:05.475 17380 17380 D pobotag GameView: Winner 23: Blue
01-11 08:44:30.643 17380 17380 D pobotag GameView: Winner 24: Red
01-11 08:44:54.358 17380 17380 D pobotag GameView: Winner 25: Blue
01-11 08:45:25.940 17380 17380 D pobotag GameView: Winner 26: Red
01-11 08:46:02.791 17380 17380 D pobotag GameView: Winner 27: Blue
01-11 08:46:24.408 17380 17380 D pobotag GameView: Winner 28: Blue
01-11 08:46:50.525 17380 17380 D pobotag GameView: Winner 29: Blue
01-11 08:47:15.391 17380 17380 D pobotag GameView: Winner 30: Blue
01-11 08:47:38.191 17380 17380 D pobotag GameView: Winner 31: Red
01-11 08:48:03.083 17380 17380 D pobotag GameView: Winner 32: Blue
01-11 08:48:33.375 17380 17380 D pobotag GameView: Winner 33: Blue
01-11 08:48:59.412 17380 17380 D pobotag GameView: Winner 34: Blue
01-11 08:49:40.575 17380 17380 D pobotag GameView: Winner 35: Blue
01-11 08:50:13.191 17380 17380 D pobotag GameView: Winner 36: Red
01-11 08:50:55.341 17380 17380 D pobotag GameView: Winner 37: Red
01-11 08:51:35.377 17380 17380 D pobotag GameView: Winner 38: Blue
01-11 08:51:49.531 17380 17380 D pobotag GameView: Winner 39: Red
01-11 08:52:16.541 17380 17380 D pobotag GameView: Winner 40: Blue
01-11 08:52:39.259 17380 17380 D pobotag GameView: Winner 41: Blue
01-11 08:53:07.491 17380 17380 D pobotag GameView: Winner 42: Red
01-11 08:53:30.424 17380 17380 D pobotag GameView: Winner 43: Red
01-11 08:55:44.860 17576 17576 D pobotag GameView: Winner 44: Blue
01-11 08:56:14.584 17576 17576 D pobotag GameView: Winner 45: Blue
01-11 08:56:42.012 17576 17576 D pobotag GameView: Winner 46: Blue
01-11 08:57:06.094 17576 17576 D pobotag GameView: Winner 47: Blue
01-11 08:57:37.808 17576 17576 D pobotag GameView: Winner 48: Blue
01-11 08:57:56.387 17576 17576 D pobotag GameView: Winner 49: Red
01-11 08:58:29.213 17576 17576 D pobotag GameView: Winner 50: Blue
