01-10 11:40:04.440 12720 12720 D pobotag GameViewModel: Blue: Full
01-10 11:40:04.440 12720 12720 D pobotag GameViewModel: Red: MCTS
01-10 11:40:46.540 12720 12720 D pobotag GameView: Winner 1: Blue
01-10 11:41:27.717 12720 12720 D pobotag GameView: Winner 2: Blue
01-10 11:42:15.088 12720 12720 D pobotag GameView: Winner 3: Blue
01-10 11:43:02.482 12720 12720 D pobotag GameView: Winner 4: Blue
01-10 11:43:45.608 12720 12720 D pobotag GameView: Winner 5: Blue
01-10 11:44:22.432 12720 12720 D pobotag GameView: Winner 6: Blue
01-10 11:45:19.051 12720 12720 D pobotag GameView: Winner 7: Red
01-10 11:46:12.465 12720 12720 D pobotag GameView: Winner 8: Blue
01-10 11:46:59.715 12720 12720 D pobotag GameView: Winner 9: Blue
01-10 11:47:44.765 12720 12720 D pobotag GameView: Winner 10: Blue
01-10 11:48:23.568 12720 12720 D pobotag GameView: Winner 11: Blue
01-10 11:49:08.736 12720 12720 D pobotag GameView: Winner 12: Blue
01-10 11:49:39.099 12720 12720 D pobotag GameView: Winner 13: Blue
01-10 11:50:24.150 12720 12720 D pobotag GameView: Winner 14: Blue
01-10 11:50:58.669 12720 12720 D pobotag GameView: Winner 15: Blue
01-10 11:51:35.348 12720 12720 D pobotag GameView: Winner 16: Blue
01-10 11:52:07.872 12720 12720 D pobotag GameView: Winner 17: Blue
01-10 11:52:57.048 12720 12720 D pobotag GameView: Winner 18: Blue
01-10 11:53:42.098 12720 12720 D pobotag GameView: Winner 19: Blue
01-10 11:54:29.183 12720 12720 D pobotag GameView: Winner 20: Blue
01-10 11:55:12.102 12720 12720 D pobotag GameView: Winner 21: Blue
01-10 11:55:44.487 12720 12720 D pobotag GameView: Winner 22: Blue
01-10 11:56:20.201 12720 12720 D pobotag GameView: Winner 23: Red
01-10 11:57:00.969 12720 12720 D pobotag GameView: Winner 24: Blue
01-10 11:57:33.418 12720 12720 D pobotag GameView: Winner 25: Blue
01-10 11:58:03.798 12720 12720 D pobotag GameView: Winner 26: Blue
01-10 11:58:52.855 12720 12720 D pobotag GameView: Winner 27: Blue
01-10 11:59:31.598 12720 12720 D pobotag GameView: Winner 28: Blue
01-10 12:00:14.648 12720 12720 D pobotag GameView: Winner 29: Blue
01-10 12:00:53.402 12720 12720 D pobotag GameView: Winner 30: Blue
01-10 12:01:38.435 12720 12720 D pobotag GameView: Winner 31: Blue
01-10 12:02:12.948 12720 12720 D pobotag GameView: Winner 32: Blue
01-10 12:03:22.969 12720 12720 D pobotag GameView: Winner 33: Blue
01-10 12:04:07.902 12720 12720 D pobotag GameView: Winner 34: Blue
01-10 12:04:44.516 12720 12720 D pobotag GameView: Winner 35: Blue
01-10 12:05:12.736 12720 12720 D pobotag GameView: Winner 36: Blue
01-10 12:05:55.706 12720 12720 D pobotag GameView: Winner 37: Blue
01-10 12:06:47.932 12720 12720 D pobotag GameView: Winner 38: Red
01-10 12:07:34.982 12720 12720 D pobotag GameView: Winner 39: Blue
01-10 12:08:19.917 12720 12720 D pobotag GameView: Winner 40: Blue
01-10 12:08:54.419 12720 12720 D pobotag GameView: Winner 41: Blue
01-10 12:09:33.098 12720 12720 D pobotag GameView: Winner 42: Blue
01-10 12:10:07.698 12720 12720 D pobotag GameView: Winner 43: Blue
01-10 12:10:38.026 12720 12720 D pobotag GameView: Winner 44: Blue
01-10 12:11:14.616 12720 12720 D pobotag GameView: Winner 45: Blue
01-10 12:11:51.232 12720 12720 D pobotag GameView: Winner 46: Blue
01-10 12:12:25.704 12720 12720 D pobotag GameView: Winner 47: Blue
01-10 12:13:16.904 12720 12720 D pobotag GameView: Winner 48: Blue
01-10 12:13:57.784 12720 12720 D pobotag GameView: Winner 49: Blue
01-10 12:14:42.766 12720 12720 D pobotag GameView: Winner 50: Blue
