01-10 12:51:45.624 13152 13152 D pobotag GameViewModel: Blue: MCTS + Playout
01-10 12:51:45.624 13152 13152 D pobotag GameViewModel: Red: Full
01-10 12:52:16.095 13152 13152 D pobotag GameView: Winner 1: Red
01-10 12:52:41.558 13152 13152 D pobotag GameView: Winner 2: Red
01-10 12:53:04.938 13152 13152 D pobotag GameView: Winner 3: Red
01-10 12:53:26.113 13152 13152 D pobotag GameView: Winner 4: Red
01-10 12:53:53.648 13152 13152 D pobotag GameView: Winner 5: Red
01-10 12:54:23.233 13152 13152 D pobotag GameView: Winner 6: Red
01-10 12:54:46.430 13152 13152 D pobotag GameView: Winner 7: Red
01-10 12:55:03.357 13152 13152 D pobotag GameView: Winner 8: Red
01-10 12:55:24.552 13152 13152 D pobotag GameView: Winner 9: Red
01-10 12:55:56.181 13152 13152 D pobotag GameView: Winner 10: Red
01-10 12:56:15.217 13152 13152 D pobotag GameView: Winner 11: Red
01-10 12:56:40.542 13152 13152 D pobotag GameView: Winner 12: Red
01-10 12:57:05.881 13152 13152 D pobotag GameView: Winner 13: Red
01-10 12:57:29.065 13152 13152 D pobotag GameView: Winner 14: Red
01-10 12:57:56.350 13152 13152 D pobotag GameView: Winner 15: Red
01-10 12:58:19.500 13152 13152 D pobotag GameView: Winner 16: Red
01-10 12:58:38.557 13152 13152 D pobotag GameView: Winner 17: Red
01-10 12:59:08.051 13152 13152 D pobotag GameView: Winner 18: Red
01-10 12:59:37.581 13152 13152 D pobotag GameView: Winner 19: Red
01-10 12:59:58.555 13152 13152 D pobotag GameView: Winner 20: Red
01-10 13:00:23.936 13152 13152 D pobotag GameView: Winner 21: Red
01-10 13:00:53.472 13152 13152 D pobotag GameView: Winner 22: Red
01-10 13:01:10.304 13152 13152 D pobotag GameView: Winner 23: Red
01-10 13:01:43.936 13152 13152 D pobotag GameView: Winner 24: Red
01-10 13:02:15.465 13152 13152 D pobotag GameView: Winner 25: Red
01-10 13:02:38.651 13152 13152 D pobotag GameView: Winner 26: Red
01-10 13:02:57.598 13152 13152 D pobotag GameView: Winner 27: Red
01-10 13:03:27.165 13152 13152 D pobotag GameView: Winner 28: Red
01-10 13:03:46.131 13152 13152 D pobotag GameView: Winner 29: Red
01-10 13:04:15.599 13152 13152 D pobotag GameView: Winner 30: Red
01-10 13:04:28.238 13152 13152 D pobotag GameView: Winner 31: Red
01-10 13:04:51.486 13152 13152 D pobotag GameView: Winner 32: Red
01-10 13:05:23.065 13152 13152 D pobotag GameView: Winner 33: Red
01-10 13:06:02.987 13152 13152 D pobotag GameView: Winner 34: Red
01-10 13:06:28.321 13152 13152 D pobotag GameView: Winner 35: Red
01-10 13:06:53.600 13152 13152 D pobotag GameView: Winner 36: Red
01-10 13:07:29.365 13152 13152 D pobotag GameView: Winner 37: Red
01-10 13:07:48.271 13152 13152 D pobotag GameView: Winner 38: Red
01-10 13:08:13.498 13152 13152 D pobotag GameView: Winner 39: Red
01-10 13:08:28.223 13152 13152 D pobotag GameView: Winner 40: Red
01-10 13:08:51.353 13152 13152 D pobotag GameView: Winner 41: Red
01-10 13:09:18.705 13152 13152 D pobotag GameView: Winner 42: Red
01-10 13:09:37.648 13152 13152 D pobotag GameView: Winner 43: Red
01-10 13:10:02.981 13152 13152 D pobotag GameView: Winner 44: Red
01-10 13:10:26.118 13152 13152 D pobotag GameView: Winner 45: Red
01-10 13:11:01.853 13152 13152 D pobotag GameView: Winner 46: Red
01-10 13:11:18.732 13152 13152 D pobotag GameView: Winner 47: Red
01-10 13:11:41.839 13152 13152 D pobotag GameView: Winner 48: Red
01-10 13:12:00.748 13152 13152 D pobotag GameView: Winner 49: Red
01-10 13:12:28.005 13152 13152 D pobotag GameView: Winner 50: Red
