01-10 14:51:31.969 13843 13843 D pobotag GameViewModel: Blue: MCTS + Selection + Expansion
01-10 14:51:31.969 13843 13843 D pobotag GameViewModel: Red: Full
01-10 14:51:58.153 13843 13843 D pobotag GameView: Winner 1: Red
01-10 14:52:21.488 13843 13843 D pobotag GameView: Winner 2: Red
01-10 14:52:55.415 13843 13843 D pobotag GameView: Winner 3: Red
01-10 14:53:44.931 13843 13843 D pobotag GameView: Winner 4: Blue
01-10 15:07:23.536 14043 14043 D pobotag GameView: Winner 5: Red
01-10 15:07:59.341 14043 14043 D pobotag GameView: Winner 6: Red
01-10 15:08:30.924 14043 14043 D pobotag GameView: Winner 7: Red
01-10 15:09:30.804 14043 14043 D pobotag GameView: Winner 8: Blue
01-10 15:10:16.064 14043 14043 D pobotag GameView: Winner 9: Blue
01-10 15:10:45.563 14043 14043 D pobotag GameView: Winner 10: Red
01-10 15:11:40.252 14043 14043 D pobotag GameView: Winner 11: Red
01-10 15:12:41.281 14043 14043 D pobotag GameView: Winner 12: Red
01-10 15:13:37.898 14043 14043 D pobotag GameView: Winner 13: Red
01-10 15:14:14.698 14043 14043 D pobotag GameView: Winner 14: Blue
01-10 15:14:54.548 14043 14043 D pobotag GameView: Winner 15: Red
01-10 15:15:32.415 14043 14043 D pobotag GameView: Winner 16: Red
01-10 15:16:06.048 14043 14043 D pobotag GameView: Winner 17: Red
01-10 15:16:33.321 14043 14043 D pobotag GameView: Winner 18: Red
01-10 15:16:58.520 14043 14043 D pobotag GameView: Winner 19: Red
01-10 15:17:27.924 14043 14043 D pobotag GameView: Winner 20: Red
01-10 15:18:15.268 14043 14043 D pobotag GameView: Winner 21: Blue
01-10 15:19:08.701 14043 14043 D pobotag GameView: Winner 22: Blue
01-10 15:19:40.164 14043 14043 D pobotag GameView: Winner 23: Red
01-10 15:20:32.535 14043 14043 D pobotag GameView: Winner 24: Red
01-10 15:21:16.516 14043 14043 D pobotag GameView: Winner 25: Red
01-10 15:21:56.399 14043 14043 D pobotag GameView: Winner 26: Red
01-10 15:22:21.538 14043 14043 D pobotag GameView: Winner 27: Red
01-10 15:22:44.585 14043 14043 D pobotag GameView: Winner 28: Red
01-10 15:23:20.164 14043 14043 D pobotag GameView: Winner 29: Red
01-10 15:23:51.550 14043 14043 D pobotag GameView: Winner 30: Red
01-10 15:24:29.314 14043 14043 D pobotag GameView: Winner 31: Red
01-10 15:25:25.798 14043 14043 D pobotag GameView: Winner 32: Red
01-10 15:25:59.338 14043 14043 D pobotag GameView: Winner 33: Red
01-10 15:26:43.398 14043 14043 D pobotag GameView: Winner 34: Red
01-10 15:27:23.138 14043 14043 D pobotag GameView: Winner 35: Red
01-10 15:28:05.004 14043 14043 D pobotag GameView: Winner 36: Red
01-10 15:28:32.198 14043 14043 D pobotag GameView: Winner 37: Red
01-10 15:29:09.870 14043 14043 D pobotag GameView: Winner 38: Red
01-10 15:29:49.672 14043 14043 D pobotag GameView: Winner 39: Red
01-10 15:30:23.269 14043 14043 D pobotag GameView: Winner 40: Red
01-10 15:30:54.686 14043 14043 D pobotag GameView: Winner 41: Red
01-10 15:31:49.219 14043 14043 D pobotag GameView: Winner 42: Red
01-10 15:32:18.542 14043 14043 D pobotag GameView: Winner 43: Red
01-10 15:32:43.814 14043 14043 D pobotag GameView: Winner 44: Red
01-10 15:33:13.198 14043 14043 D pobotag GameView: Winner 45: Red
01-10 15:33:52.994 14043 14043 D pobotag GameView: Winner 46: Red
01-10 15:37:52.393 14181 14181 D pobotag GameView: Winner 47: Red
01-10 15:38:24.189 14181 14181 D pobotag GameView: Winner 48: Red
01-10 15:39:05.298 14181 14181 D pobotag GameView: Winner 49: Blue
01-10 15:39:56.915 14181 14181 D pobotag GameView: Winner 50: Blue
