01-11 15:09:15.520 21304 21304 D pobotag GameViewModel: Blue: MCTS + Selection + Playout
01-11 15:09:15.520 21304 21304 D pobotag GameViewModel: Red: Full
01-11 15:09:56.817 21304 21304 D pobotag GameView: Winner 1: Red
01-11 15:10:18.124 21304 21304 D pobotag GameView: Winner 2: Red
01-11 15:10:45.779 21304 21304 D pobotag GameView: Winner 3: Red
01-11 15:11:30.226 21304 21304 D pobotag GameView: Winner 4: Red
01-11 15:12:08.267 21304 21304 D pobotag GameView: Winner 5: Red
01-11 15:12:46.395 21304 21304 D pobotag GameView: Winner 6: Red
01-11 15:13:43.211 21304 21304 D pobotag GameView: Winner 7: Red
01-11 15:14:12.708 21304 21304 D pobotag GameView: Winner 8: Red
01-11 15:14:33.832 21304 21304 D pobotag GameView: Winner 9: Red
01-11 15:15:05.590 21304 21304 D pobotag GameView: Winner 10: Red
01-11 15:16:00.461 21304 21304 D pobotag GameView: Winner 11: Red
01-11 15:16:25.713 21304 21304 D pobotag GameView: Winner 12: Red
01-11 15:16:57.317 21304 21304 D pobotag GameView: Winner 13: Red
01-11 15:17:31.140 21304 21304 D pobotag GameView: Winner 14: Red
01-11 15:17:56.392 21304 21304 D pobotag GameView: Winner 15: Red
01-11 15:18:32.247 21304 21304 D pobotag GameView: Winner 16: Red
01-11 15:18:55.462 21304 21304 D pobotag GameView: Winner 17: Red
01-11 15:19:16.542 21304 21304 D pobotag GameView: Winner 18: Red
01-11 15:19:46.001 21304 21304 D pobotag GameView: Winner 19: Red
01-11 15:20:23.840 21304 21304 D pobotag GameView: Winner 20: Red
01-11 15:20:53.293 21304 21304 D pobotag GameView: Winner 21: Red
01-11 15:21:22.799 21304 21304 D pobotag GameView: Winner 22: Red
01-11 15:21:52.380 21304 21304 D pobotag GameView: Winner 23: Red
01-11 15:22:42.845 21304 21304 D pobotag GameView: Winner 24: Red
01-11 15:23:25.012 21304 21304 D pobotag GameView: Winner 25: Red
01-11 15:23:56.557 21304 21304 D pobotag GameView: Winner 26: Red
01-11 15:24:30.230 21304 21304 D pobotag GameView: Winner 27: Red
01-11 15:25:10.044 21304 21304 D pobotag GameView: Winner 28: Red
01-11 15:25:52.112 21304 21304 D pobotag GameView: Winner 29: Red
01-11 15:26:19.427 21304 21304 D pobotag GameView: Winner 30: Red
01-11 15:27:03.642 21304 21304 D pobotag GameView: Winner 31: Red
01-11 15:27:39.425 21304 21304 D pobotag GameView: Winner 32: Red
01-11 15:28:25.679 21304 21304 D pobotag GameView: Winner 33: Red
01-11 15:29:01.529 21304 21304 D pobotag GameView: Winner 34: Red
01-11 15:29:33.157 21304 21304 D pobotag GameView: Winner 35: Red
01-11 15:29:58.357 21304 21304 D pobotag GameView: Winner 36: Red
01-11 15:30:19.407 21304 21304 D pobotag GameView: Winner 37: Red
01-11 15:31:05.829 21304 21304 D pobotag GameView: Winner 38: Red
01-11 15:31:33.207 21304 21304 D pobotag GameView: Winner 39: Red
01-11 15:32:19.507 21304 21304 D pobotag GameView: Winner 40: Red
01-11 15:32:48.957 21304 21304 D pobotag GameView: Winner 41: Red
01-11 15:33:24.640 21304 21304 D pobotag GameView: Winner 42: Red
01-11 15:33:54.020 21304 21304 D pobotag GameView: Winner 43: Red
01-11 15:34:17.090 21304 21304 D pobotag GameView: Winner 44: Red
01-11 15:35:22.240 21304 21304 D pobotag GameView: Winner 45: Red
01-11 15:35:43.225 21304 21304 D pobotag GameView: Winner 46: Red
01-11 15:36:06.359 21304 21304 D pobotag GameView: Winner 47: Red
01-11 15:36:42.131 21304 21304 D pobotag GameView: Winner 48: Red
01-11 15:37:19.979 21304 21304 D pobotag GameView: Winner 49: Red
01-11 15:38:08.457 21304 21304 D pobotag GameView: Winner 50: Red
