01-11 10:57:52.855 20220 20220 D pobotag GameViewModel: Blue: MCTS + Selection
01-11 10:57:52.855 20220 20220 D pobotag GameViewModel: Red: Full
01-11 10:58:17.020 20220 20220 D pobotag GameView: Winner 1: Red
01-11 10:58:57.210 20220 20220 D pobotag GameView: Winner 2: Red
01-11 10:59:35.264 20220 20220 D pobotag GameView: Winner 3: Red
01-11 10:59:58.578 20220 20220 D pobotag GameView: Winner 4: Red
01-11 11:00:15.474 20220 20220 D pobotag GameView: Winner 5: Red
01-11 11:00:34.458 20220 20220 D pobotag GameView: Winner 6: Red
01-11 11:01:14.451 20220 20220 D pobotag GameView: Winner 7: Red
01-11 11:01:49.301 20220 20220 D pobotag GameView: Winner 8: Blue
01-11 11:02:23.009 20220 20220 D pobotag GameView: Winner 9: Red
01-11 11:03:00.812 20220 20220 D pobotag GameView: Winner 10: Red
01-11 11:03:34.498 20220 20220 D pobotag GameView: Winner 11: Red
01-11 11:04:17.564 20220 20220 D pobotag GameView: Winner 12: Blue
01-11 11:04:51.183 20220 20220 D pobotag GameView: Winner 13: Red
01-11 11:05:33.174 20220 20220 D pobotag GameView: Winner 14: Red
01-11 11:06:13.158 20220 20220 D pobotag GameView: Winner 15: Red
01-11 11:06:44.624 20220 20220 D pobotag GameView: Winner 16: Red
01-11 11:07:18.213 20220 20220 D pobotag GameView: Winner 17: Red
01-11 11:08:00.326 20220 20220 D pobotag GameView: Winner 18: Red
01-11 11:08:25.524 20220 20220 D pobotag GameView: Winner 19: Red
01-11 11:08:52.829 20220 20220 D pobotag GameView: Winner 20: Red
01-11 11:09:24.348 20220 20220 D pobotag GameView: Winner 21: Red
01-11 11:10:00.074 20220 20220 D pobotag GameView: Winner 22: Red
01-11 11:10:25.183 20220 20220 D pobotag GameView: Winner 23: Red
01-11 11:10:58.746 20220 20220 D pobotag GameView: Winner 24: Red
01-11 11:11:28.097 20220 20220 D pobotag GameView: Winner 25: Red
01-11 11:11:57.466 20220 20220 D pobotag GameView: Winner 26: Red
01-11 11:12:33.124 20220 20220 D pobotag GameView: Winner 27: Red
01-11 11:12:58.241 20220 20220 D pobotag GameView: Winner 28: Red
01-11 11:13:31.824 20220 20220 D pobotag GameView: Winner 29: Red
01-11 11:14:02.258 20220 20220 D pobotag GameView: Winner 30: Blue
01-11 11:14:33.648 20220 20220 D pobotag GameView: Winner 31: Red
01-11 11:15:07.198 20220 20220 D pobotag GameView: Winner 32: Red
01-11 11:15:50.157 20220 20220 D pobotag GameView: Winner 33: Blue
01-11 11:16:32.075 20220 20220 D pobotag GameView: Winner 34: Red
01-11 11:17:11.895 20220 20220 D pobotag GameView: Winner 35: Red
01-11 11:17:51.744 20220 20220 D pobotag GameView: Winner 36: Red
01-11 11:18:31.641 20220 20220 D pobotag GameView: Winner 37: Red
01-11 11:19:24.010 20220 20220 D pobotag GameView: Winner 38: Red
01-11 11:19:57.480 20220 20220 D pobotag GameView: Winner 39: Red
01-11 11:20:28.883 20220 20220 D pobotag GameView: Winner 40: Red
01-11 11:20:49.815 20220 20220 D pobotag GameView: Winner 41: Red
01-11 11:21:37.931 20220 20220 D pobotag GameView: Winner 42: Red
01-11 11:22:44.858 20220 20220 D pobotag GameView: Winner 43: Red
01-11 11:23:18.391 20220 20220 D pobotag GameView: Winner 44: Red
01-11 11:24:08.707 20220 20220 D pobotag GameView: Winner 45: Red
01-11 11:24:25.379 20220 20220 D pobotag GameView: Winner 46: Red
01-11 11:24:46.311 20220 20220 D pobotag GameView: Winner 47: Red
01-11 11:25:30.307 20220 20220 D pobotag GameView: Winner 48: Red
01-11 11:26:03.867 20220 20220 D pobotag GameView: Winner 49: Red
01-11 11:26:35.332 20220 20220 D pobotag GameView: Winner 50: Red
