01-10 13:22:31.777 13269 13269 D pobotag GameViewModel: Blue: MCTS
01-10 13:22:31.777 13269 13269 D pobotag GameViewModel: Red: MCTS
01-10 13:23:06.422 13269 13269 D pobotag GameView: Winner 1: Red
01-10 13:23:49.615 13269 13269 D pobotag GameView: Winner 2: Blue
01-10 13:24:22.256 13269 13269 D pobotag GameView: Winner 3: Blue
01-10 13:25:04.315 13269 13269 D pobotag GameView: Winner 4: Red
01-10 13:25:49.405 13269 13269 D pobotag GameView: Winner 5: Blue
01-10 13:26:30.302 13269 13269 D pobotag GameView: Winner 6: Blue
01-10 13:27:11.266 13269 13269 D pobotag GameView: Winner 7: Blue
01-10 13:27:46.817 13269 13269 D pobotag GameView: Winner 8: Red
01-10 13:28:50.581 13269 13269 D pobotag GameView: Winner 9: Blue
01-10 13:29:27.256 13269 13269 D pobotag GameView: Winner 10: Blue
01-10 13:30:07.038 13269 13269 D pobotag GameView: Winner 11: Red
01-10 13:31:02.456 13269 13269 D pobotag GameView: Winner 12: Blue
01-10 13:31:40.116 13269 13269 D pobotag GameView: Winner 13: Red
01-10 13:32:31.315 13269 13269 D pobotag GameView: Winner 14: Blue
01-10 13:33:38.065 13269 13269 D pobotag GameView: Winner 15: Red
01-10 13:34:18.756 13269 13269 D pobotag GameView: Winner 16: Blue
01-10 13:34:58.498 13269 13269 D pobotag GameView: Winner 17: Red
01-10 13:35:40.271 13269 13269 D pobotag GameView: Winner 18: Red
01-10 13:35:53.831 13269 13269 D pobotag GameView: Winner 19: Blue
01-10 13:36:49.116 13269 13269 D pobotag GameView: Winner 20: Blue
01-10 13:37:18.386 13269 13269 D pobotag GameView: Winner 21: Red
01-10 13:38:03.215 13269 13269 D pobotag GameView: Winner 22: Blue
01-10 13:38:44.965 13269 13269 D pobotag GameView: Winner 23: Red
01-10 13:39:13.298 13269 13269 D pobotag GameView: Winner 24: Blue
01-10 13:39:50.765 13269 13269 D pobotag GameView: Winner 25: Red
01-10 13:40:49.183 13269 13269 D pobotag GameView: Winner 26: Red
01-10 13:41:27.766 13269 13269 D pobotag GameView: Winner 27: Blue
01-10 13:41:59.055 13269 13269 D pobotag GameView: Winner 28: Red
01-10 13:42:35.533 13269 13269 D pobotag GameView: Winner 29: Blue
01-10 13:43:07.786 13269 13269 D pobotag GameView: Winner 30: Blue
01-10 13:43:59.883 13269 13269 D pobotag GameView: Winner 31: Red
01-10 13:44:31.202 13269 13269 D pobotag GameView: Winner 32: Red
01-10 13:45:14.015 13269 13269 D pobotag GameView: Winner 33: Blue
01-10 13:46:02.990 13269 13269 D pobotag GameView: Winner 34: Blue
01-10 13:46:47.781 13269 13269 D pobotag GameView: Winner 35: Blue
01-10 13:47:30.568 13269 13269 D pobotag GameView: Winner 36: Blue
01-10 13:48:09.135 13269 13269 D pobotag GameView: Winner 37: Blue
01-10 13:48:59.183 13269 13269 D pobotag GameView: Winner 38: Red
01-10 13:49:37.781 13269 13269 D pobotag GameView: Winner 39: Blue
01-10 13:50:07.007 13269 13269 D pobotag GameView: Winner 40: Red
01-10 13:50:46.618 13269 13269 D pobotag GameView: Winner 41: Red
01-10 13:51:15.764 13269 13269 D pobotag GameView: Winner 42: Red
01-10 13:52:07.821 13269 13269 D pobotag GameView: Winner 43: Red
01-10 13:53:11.431 13269 13269 D pobotag GameView: Winner 44: Blue
01-10 13:53:54.049 13269 13269 D pobotag GameView: Winner 45: Blue
01-10 13:54:36.802 13269 13269 D pobotag GameView: Winner 46: Blue
01-10 13:55:19.631 13269 13269 D pobotag GameView: Winner 47: Blue
01-10 13:56:00.237 13269 13269 D pobotag GameView: Winner 48: Blue
01-10 13:56:44.064 13269 13269 D pobotag GameView: Winner 49: Red
01-10 13:57:18.483 13269 13269 D pobotag GameView: Winner 50: Blue
01-10 13:58:02.289 13269 13269 D pobotag GameView: Winner 51: Red
01-10 13:58:43.966 13269 13269 D pobotag GameView: Winner 52: Red
01-10 13:59:19.448 13269 13269 D pobotag GameView: Winner 53: Red
01-10 13:59:50.699 13269 13269 D pobotag GameView: Winner 54: Red
01-10 14:00:19.887 13269 13269 D pobotag GameView: Winner 55: Red
01-10 14:01:03.798 13269 13269 D pobotag GameView: Winner 56: Red
