01-10 11:18:50.882 12420 12420 D pobotag GameViewModel: Blue: MCTS
01-10 11:18:50.882 12420 12420 D pobotag GameViewModel: Red: Full
01-10 11:19:16.963 12420 12420 D pobotag GameView: Winner 1: Red
01-10 11:19:31.882 12420 12420 D pobotag GameView: Winner 2: Red
01-10 11:19:55.203 12420 12420 D pobotag GameView: Winner 3: Red
01-10 11:20:22.682 12420 12420 D pobotag GameView: Winner 4: Red
01-10 11:20:39.575 12420 12420 D pobotag GameView: Winner 5: Red
01-10 11:21:00.700 12420 12420 D pobotag GameView: Winner 6: Red
01-10 11:21:19.621 12420 12420 D pobotag GameView: Winner 7: Red
01-10 11:21:49.085 12420 12420 D pobotag GameView: Winner 8: Red
01-10 11:22:14.290 12420 12420 D pobotag GameView: Winner 9: Red
01-10 11:22:41.615 12420 12420 D pobotag GameView: Winner 10: Red
01-10 11:23:19.571 12420 12420 D pobotag GameView: Winner 11: Red
01-10 11:23:32.232 12420 12420 D pobotag GameView: Winner 12: Red
01-10 11:24:03.769 12420 12420 D pobotag GameView: Winner 13: Red
01-10 11:24:26.898 12420 12420 D pobotag GameView: Winner 14: Red
01-10 11:24:54.305 12420 12420 D pobotag GameView: Winner 15: Red
01-10 11:25:13.248 12420 12420 D pobotag GameView: Winner 16: Red
01-10 11:25:49.005 12420 12420 D pobotag GameView: Winner 17: Red
01-10 11:26:10.015 12420 12420 D pobotag GameView: Winner 18: Red
01-10 11:26:39.432 12420 12420 D pobotag GameView: Winner 19: Red
01-10 11:26:54.121 12420 12420 D pobotag GameView: Winner 20: Red
01-10 11:27:21.423 12420 12420 D pobotag GameView: Winner 21: Red
01-10 11:27:44.489 12420 12420 D pobotag GameView: Winner 22: Red
01-10 11:28:03.340 12420 12420 D pobotag GameView: Winner 23: Red
01-10 11:28:18.054 12420 12420 D pobotag GameView: Winner 24: Red
01-10 11:28:41.198 12420 12420 D pobotag GameView: Winner 25: Red
01-10 11:29:04.365 12420 12420 D pobotag GameView: Winner 26: Red
01-10 11:29:25.673 12420 12420 D pobotag GameView: Winner 27: Red
01-10 11:29:53.016 12420 12420 D pobotag GameView: Winner 28: Red
01-10 11:30:26.655 12420 12420 D pobotag GameView: Winner 29: Red
01-10 11:30:53.974 12420 12420 D pobotag GameView: Winner 30: Red
01-10 11:31:08.688 12420 12420 D pobotag GameView: Winner 31: Red
01-10 11:31:31.732 12420 12420 D pobotag GameView: Winner 32: Red
01-10 11:31:54.818 12420 12420 D pobotag GameView: Winner 33: Red
01-10 11:32:13.698 12420 12420 D pobotag GameView: Winner 34: Red
01-10 11:32:36.715 12420 12420 D pobotag GameView: Winner 35: Red
01-10 11:32:59.785 12420 12420 D pobotag GameView: Winner 36: Red
01-10 11:33:20.756 12420 12420 D pobotag GameView: Winner 37: Red
01-10 11:33:39.648 12420 12420 D pobotag GameView: Winner 38: Red
01-10 11:34:02.682 12420 12420 D pobotag GameView: Winner 39: Red
01-10 11:34:27.885 12420 12420 D pobotag GameView: Winner 40: Red
01-10 11:34:55.167 12420 12420 D pobotag GameView: Winner 41: Red
01-10 11:35:24.487 12420 12420 D pobotag GameView: Winner 42: Red
01-10 11:35:45.489 12420 12420 D pobotag GameView: Winner 43: Red
01-10 11:36:34.786 12420 12420 D pobotag GameView: Winner 44: Blue
01-10 11:37:04.057 12420 12420 D pobotag GameView: Winner 45: Red
01-10 11:37:20.748 12420 12420 D pobotag GameView: Winner 46: Red
01-10 11:37:43.784 12420 12420 D pobotag GameView: Winner 47: Red
01-10 11:38:02.637 12420 12420 D pobotag GameView: Winner 48: Red
01-10 11:38:27.755 12420 12420 D pobotag GameView: Winner 49: Red
01-10 11:38:55.015 12420 12420 D pobotag GameView: Winner 50: Red
